,hospital,school,supermarket
2021-01-01 00:00:00,47.69,66.21,73.27
2021-01-01 00:15:00,47.1025,64.405,75.645
2021-01-01 00:30:00,46.515,62.599999999999994,78.02
2021-01-01 00:45:00,45.9275,60.795,80.395
2021-01-01 01:00:00,45.34,58.99,82.77
2021-01-01 01:15:00,45.165000000000006,60.58,78.0275
2021-01-01 01:30:00,44.99,62.17,73.285
2021-01-01 01:45:00,44.815,63.76,68.54249999999999
2021-01-01 02:00:00,44.64,65.35,63.8
2021-01-01 02:15:00,43.99,63.77499999999999,71.4325
2021-01-01 02:30:00,43.34,62.199999999999996,79.065
2021-01-01 02:45:00,42.69,60.625,86.69749999999999
2021-01-01 03:00:00,42.04,59.05,94.33
2021-01-01 03:15:00,48.54,60.845,98.555
2021-01-01 03:30:00,55.040000000000006,62.64,102.78
2021-01-01 03:45:00,61.540000000000006,64.435,107.005
2021-01-01 04:00:00,68.04,66.23,111.23
2021-01-01 04:15:00,70.2975,64.52000000000001,103.5975
2021-01-01 04:30:00,72.555,62.81,95.965
2021-01-01 04:45:00,74.8125,61.1,88.33250000000001
2021-01-01 05:00:00,77.07,59.39,80.7
2021-01-01 05:15:00,99.8775,61.712500000000006,102.755
2021-01-01 05:30:00,122.685,64.035,124.81
2021-01-01 05:45:00,145.4925,66.3575,146.865
2021-01-01 06:00:00,168.3,68.68,168.92
2021-01-01 06:15:00,166.5925,62.315000000000005,166.255
2021-01-01 06:30:00,164.885,55.95,163.58999999999997
2021-01-01 06:45:00,163.1775,49.585,160.92499999999998
2021-01-01 07:00:00,161.47,43.22,158.26
2021-01-01 07:15:00,181.01749999999998,41.1975,177.375
2021-01-01 07:30:00,200.565,39.175,196.49
2021-01-01 07:45:00,220.1125,37.1525,215.605
2021-01-01 08:00:00,239.66,35.13,234.72
2021-01-01 08:15:00,239.3625,33.9775,217.71
2021-01-01 08:30:00,239.065,32.825,200.7
2021-01-01 08:45:00,238.76749999999998,31.6725,183.69
2021-01-01 09:00:00,238.47,30.52,166.68
2021-01-01 09:15:00,242.93,31.607499999999998,196.60500000000002
2021-01-01 09:30:00,247.39,32.695,226.53
2021-01-01 09:45:00,251.85,33.7825,256.455
2021-01-01 10:00:00,256.31,34.87,286.38
2021-01-01 10:15:00,259.305,34.5725,305.8925
2021-01-01 10:30:00,262.3,34.275,325.405
2021-01-01 10:45:00,265.295,33.9775,344.9175
2021-01-01 11:00:00,268.29,33.68,364.43
2021-01-01 11:15:00,272.2375,33.379999999999995,374.5775
2021-01-01 11:30:00,276.185,33.08,384.725
2021-01-01 11:45:00,280.1325,32.78,394.8725
2021-01-01 12:00:00,284.08,32.48,405.02
2021-01-01 12:15:00,285.62,31.639999999999997,403.97749999999996
2021-01-01 12:30:00,287.15999999999997,30.799999999999997,402.935
2021-01-01 12:45:00,288.7,29.96,401.89250000000004
2021-01-01 13:00:00,290.24,29.12,400.85
2021-01-01 13:15:00,290.6075,30.3,398.5
2021-01-01 13:30:00,290.975,31.480000000000004,396.15
2021-01-01 13:45:00,291.3425,32.660000000000004,393.8
2021-01-01 14:00:00,291.71,33.84,391.45
2021-01-01 14:15:00,290.1525,32.39,388.79499999999996
2021-01-01 14:30:00,288.595,30.94,386.14
2021-01-01 14:45:00,287.0375,29.490000000000002,383.485
2021-01-01 15:00:00,285.48,28.04,380.83
2021-01-01 15:15:00,276.84250000000003,31.552500000000002,385.615
2021-01-01 15:30:00,268.20500000000004,35.065,390.4
2021-01-01 15:45:00,259.5675,38.5775,395.185
2021-01-01 16:00:00,250.93,42.09,399.97
2021-01-01 16:15:00,237.5225,43.995000000000005,381.635
2021-01-01 16:30:00,224.115,45.900000000000006,363.3
2021-01-01 16:45:00,210.7075,47.805,344.96500000000003
2021-01-01 17:00:00,197.3,49.71,326.63
2021-01-01 17:15:00,184.385,51.015,325.115
2021-01-01 17:30:00,171.47,52.32,323.6
2021-01-01 17:45:00,158.555,53.625,322.085
2021-01-01 18:00:00,145.64,54.93,320.57
2021-01-01 18:15:00,143.0375,55.265,307.9825
2021-01-01 18:30:00,140.435,55.6,295.395
2021-01-01 18:45:00,137.83249999999998,55.935,282.8075
2021-01-01 19:00:00,135.23,56.27,270.22
2021-01-01 19:15:00,128.2,57.057500000000005,264.805
2021-01-01 19:30:00,121.16999999999999,57.845,259.39
2021-01-01 19:45:00,114.14,58.6325,253.97500000000002
2021-01-01 20:00:00,107.11,59.42,248.56
2021-01-01 20:15:00,109.745,59.167500000000004,239.5775
2021-01-01 20:30:00,112.38,58.915,230.595
2021-01-01 20:45:00,115.015,58.662499999999994,221.6125
2021-01-01 21:00:00,117.65,58.41,212.63
2021-01-01 21:15:00,111.185,61.2275,168.12
2021-01-01 21:30:00,104.72,64.045,123.61
2021-01-01 21:45:00,98.25500000000001,66.86250000000001,79.1
2021-01-01 22:00:00,91.79,69.68,34.59
2021-01-01 22:15:00,89.39,68.23750000000001,65.905
2021-01-01 22:30:00,86.99000000000001,66.795,97.22
2021-01-01 22:45:00,84.59,65.35249999999999,128.535
2021-01-01 23:00:00,82.19,63.91,159.85
2021-01-01 23:15:00,80.785,65.5825,144.3775
2021-01-01 23:30:00,79.38,67.255,128.905
2021-01-01 23:45:00,77.975,68.9275,113.43249999999999
2021-01-02 00:00:00,76.57,70.6,97.96
2021-01-02 00:15:00,75.57499999999999,68.9725,90.72999999999999
2021-01-02 00:30:00,74.58,67.345,83.5
2021-01-02 00:45:00,73.58500000000001,65.7175,76.27000000000001
2021-01-02 01:00:00,72.59,64.09,69.04
2021-01-02 01:15:00,71.49000000000001,68.025,70.08500000000001
2021-01-02 01:30:00,70.39,71.96000000000001,71.13
2021-01-02 01:45:00,69.28999999999999,75.895,72.175
2021-01-02 02:00:00,68.19,79.83,73.22
2021-01-02 02:15:00,67.1125,77.155,75.6775
2021-01-02 02:30:00,66.035,74.47999999999999,78.13499999999999
