Date,OAT,Building 6 kW
1/1/2010 0:00,29.4203,24
1/1/2010 1:00,29.910495,29.7
1/1/2010 2:00,30.2168925,31.4
1/1/2010 3:00,30.217575,35.7
1/1/2010 4:00,29.607685,35.9
1/1/2010 5:00,28.7442575,36.1
1/1/2010 6:00,28.5522925,31.7
1/1/2010 7:00,25.23459,34.1
1/1/2010 8:00,25.38034,35.8
1/1/2010 9:00,27.083985,30.4
1/1/2010 10:00,32.9352375,28.4
1/1/2010 11:00,35.5718125,25.7
1/1/2010 12:00,33.8429475,27
1/1/2010 13:00,32.8077525,29.1
1/1/2010 14:00,33.7162675,26.4
1/1/2010 15:00,34.9150675,23.8
1/1/2010 16:00,36.96537,27.6
1/1/2010 17:00,37.6211225,27.9
1/1/2010 18:00,41.1386475,24.9
1/1/2010 19:00,42.541465,24.4
1/1/2010 20:00,45.4120975,23.6
1/1/2010 21:00,45.1508625,20.4
1/1/2010 22:00,45.4888525,22.2
1/1/2010 23:00,46.3995425,24.4
1/2/2010 0:00,46.6836725,27.3
1/2/2010 1:00,46.6069725,25.7
1/2/2010 2:00,45.8607625,28.1
1/2/2010 3:00,45.25091,28.6
1/2/2010 4:00,45.5178275,27.6
1/2/2010 5:00,46.28773,30.2
1/2/2010 6:00,46.516805,29.9
1/2/2010 7:00,46.971895,26.8
1/2/2010 8:00,45.9200775,26.1
1/2/2010 9:00,45.5106675,22.4
1/2/2010 10:00,45.682475,22.7
1/2/2010 11:00,46.6441275,20.6
1/2/2010 12:00,48.4019275,20.4
1/2/2010 13:00,48.963565,19.1
1/2/2010 14:00,48.0923675,18.9
1/2/2010 15:00,47.9500375,19.5
1/2/2010 16:00,44.59381,20.8
1/2/2010 17:00,42.81774,21.3
1/2/2010 18:00,37.8252525,18.3
1/2/2010 19:00,35.466475,19.5
1/2/2010 20:00,33.80504,22.1
1/2/2010 21:00,34.441685,18.2
1/2/2010 22:00,33.2306875,22.1
1/2/2010 23:00,32.9684975,21.7
1/3/2010 0:00,32.21704,22.7
1/3/2010 1:00,33.8180375,26.9
1/3/2010 2:00,31.1523475,25.6
1/3/2010 3:00,29.129925,28.2
1/3/2010 4:00,28.86797,31.4
1/3/2010 5:00,29.1686725,36.3
1/3/2010 6:00,29.4766775,35.5
1/3/2010 7:00,30.77045,33.4
1/3/2010 8:00,31.195305,31.2
1/3/2010 9:00,33.0213875,33.8
1/3/2010 10:00,34.1943825,32.2
1/3/2010 11:00,35.5449425,30.7
1/3/2010 12:00,36.20342,26.7
1/3/2010 13:00,36.9369275,26
1/3/2010 14:00,37.916695,27
1/3/2010 15:00,37.887975,24.6
1/3/2010 16:00,37.78552,23.7
1/3/2010 17:00,35.988045,25.8
1/3/2010 18:00,35.2090175,25
1/3/2010 19:00,35.9195025,25.9
1/3/2010 20:00,36.77969,27.2
1/3/2010 21:00,35.9264925,27.6
1/3/2010 22:00,34.6221425,28.8
1/3/2010 23:00,34.500575,30.7
1/4/2010 0:00,33.3414975,26.8
1/4/2010 1:00,32.9044975,26.6
1/4/2010 2:00,33.41942,26.1
1/4/2010 3:00,32.9716675,22.7
1/4/2010 4:00,33.2971675,25.2
1/4/2010 5:00,33.3041575,56.5
1/4/2010 6:00,33.37253,67.9
1/4/2010 7:00,33.9718525,56.5
1/4/2010 8:00,33.70382,65.6
1/4/2010 9:00,33.9878775,64.7
1/4/2010 10:00,34.47756,65.1
1/4/2010 11:00,34.999805,64.6
1/4/2010 12:00,35.459315,62.5
1/4/2010 13:00,35.33962,61.4
1/4/2010 14:00,35.301255,61
1/4/2010 15:00,35.88165,53.8
1/4/2010 16:00,35.8281125,49.8
1/4/2010 17:00,35.5935025,43
1/4/2010 18:00,35.22197,19.9
1/4/2010 19:00,34.9445625,16.6
1/4/2010 20:00,34.66528,18.6
1/4/2010 21:00,34.8499325,24.8
1/4/2010 22:00,35.36912,25.7
1/4/2010 23:00,35.18156,24.4
1/5/2010 0:00,35.2313475,23.8
1/5/2010 1:00,35.4257225,28
1/5/2010 2:00,35.0763625,28.9
1/5/2010 3:00,35.122055,31
1/5/2010 4:00,35.16042,31.3
1/5/2010 5:00,35.222825,60.1
1/5/2010 6:00,35.1646825,65.6
1/5/2010 7:00,35.323935,55.3
1/5/2010 8:00,34.7914525,59.4
1/5/2010 9:00,34.785315,63.3
1/5/2010 10:00,35.240215,60.9
1/5/2010 11:00,36.2508525,62.1
1/5/2010 12:00,37.418815,54.2
1/5/2010 13:00,38.6845,57
1/5/2010 14:00,39.5654375,53
1/5/2010 15:00,39.46437,50.3
1/5/2010 16:00,39.1568875,45.6
1/5/2010 17:00,39.316585,44.8
1/5/2010 18:00,38.6788475,21
1/5/2010 19:00,38.3018825,18.5
1/5/2010 20:00,37.8855375,17.7
1/5/2010 21:00,37.279605,18.8
1/5/2010 22:00,37.02044,23.1
1/5/2010 23:00,37.97716,26.3
1/6/2010 0:00,37.6694525,26.1
1/6/2010 1:00,37.913195,26.5
1/6/2010 2:00,37.82073,28.5
1/6/2010 3:00,37.394685,30.5
1/6/2010 4:00,36.747635,34.2
1/6/2010 5:00,36.1575225,67.4
1/6/2010 6:00,35.726325,70.8
1/6/2010 7:00,33.6093575,60.7
1/6/2010 8:00,33.811235,59.6
1/6/2010 9:00,35.1488275,60.3
1/6/2010 10:00,37.2952975,61.6
1/6/2010 11:00,38.861775,61.7
1/6/2010 12:00,39.36903,62
1/6/2010 13:00,39.85906,59.2
1/6/2010 14:00,40.26949,57.8
1/6/2010 15:00,38.77577,57
1/6/2010 16:00,36.4453525,51.5
1/6/2010 17:00,34.6825,49.1
1/6/2010 18:00,33.03715,28.1
1/6/2010 19:00,31.0432875,29.2
1/6/2010 20:00,30.751405,31.7
1/6/2010 21:00,29.659265,27.1
1/6/2010 22:00,29.30662,32.6
1/6/2010 23:00,29.3485825,31.2
1/7/2010 0:00,28.9518125,34.3
