,gen
2021-01-01 00:00:00,0.0
2021-01-01 00:15:00,0.0
2021-01-01 00:30:00,0.0
2021-01-01 00:45:00,0.0
2021-01-01 01:00:00,0.0
2021-01-01 01:15:00,0.0
2021-01-01 01:30:00,0.0
2021-01-01 01:45:00,0.0
2021-01-01 02:00:00,0.0
2021-01-01 02:15:00,0.0
2021-01-01 02:30:00,0.0
2021-01-01 02:45:00,0.0
2021-01-01 03:00:00,0.0
2021-01-01 03:15:00,0.0
2021-01-01 03:30:00,0.0
2021-01-01 03:45:00,0.0
2021-01-01 04:00:00,0.0
2021-01-01 04:15:00,0.0
2021-01-01 04:30:00,0.0
2021-01-01 04:45:00,0.0
2021-01-01 05:00:00,0.0
2021-01-01 05:15:00,0.0
2021-01-01 05:30:00,0.0
2021-01-01 05:45:00,0.0
2021-01-01 06:00:00,0.0
2021-01-01 06:15:00,0.0
2021-01-01 06:30:00,0.0
2021-01-01 06:45:00,0.0
2021-01-01 07:00:00,0.0
2021-01-01 07:15:00,0.00037
2021-01-01 07:30:00,0.00037
2021-01-01 07:45:00,0.00037
2021-01-01 08:00:00,0.00238
2021-01-01 08:15:00,0.01525
2021-01-01 08:30:00,0.01905
2021-01-01 08:45:00,0.03557
2021-01-01 09:00:00,0.04189
2021-01-01 09:15:00,0.07753
2021-01-01 09:30:00,0.10171
2021-01-01 09:45:00,0.08557
2021-01-01 10:00:00,0.05469
2021-01-01 10:15:00,0.09234
2021-01-01 10:30:00,0.1122
2021-01-01 10:45:00,0.13326
2021-01-01 11:00:00,0.13199
2021-01-01 11:15:00,0.09234
2021-01-01 11:30:00,0.04353
2021-01-01 11:45:00,0.04784
2021-01-01 12:00:00,0.03817
2021-01-01 12:15:00,0.03363
2021-01-01 12:30:00,0.03237
2021-01-01 12:45:00,0.04509
2021-01-01 13:00:00,0.05179
2021-01-01 13:15:00,0.03266
2021-01-01 13:30:00,0.02746
2021-01-01 13:45:00,0.02991
2021-01-01 14:00:00,0.04174
2021-01-01 14:15:00,0.05818
2021-01-01 14:30:00,0.02872
2021-01-01 14:45:00,0.02247
2021-01-01 15:00:00,0.02061
2021-01-01 15:15:00,0.01555
2021-01-01 15:30:00,0.00952
2021-01-01 15:45:00,0.01176
2021-01-01 16:00:00,0.00692
2021-01-01 16:15:00,0.00201
2021-01-01 16:30:00,0.00037
2021-01-01 16:45:00,0.00037
2021-01-01 17:00:00,0.0
2021-01-01 17:15:00,0.0
2021-01-01 17:30:00,0.0
2021-01-01 17:45:00,0.0
2021-01-01 18:00:00,0.0
2021-01-01 18:15:00,0.0
2021-01-01 18:30:00,0.0
2021-01-01 18:45:00,0.0
2021-01-01 19:00:00,0.0
2021-01-01 19:15:00,0.0
2021-01-01 19:30:00,0.0
2021-01-01 19:45:00,0.0
2021-01-01 20:00:00,0.0
2021-01-01 20:15:00,0.0
2021-01-01 20:30:00,0.0
2021-01-01 20:45:00,0.0
2021-01-01 21:00:00,0.0
2021-01-01 21:15:00,0.0
2021-01-01 21:30:00,0.0
2021-01-01 21:45:00,0.0
2021-01-01 22:00:00,0.0
2021-01-01 22:15:00,0.0
2021-01-01 22:30:00,0.0
2021-01-01 22:45:00,0.0
2021-01-01 23:00:00,0.0
2021-01-01 23:15:00,0.0
2021-01-01 23:30:00,0.0
2021-01-01 23:45:00,0.0
2021-01-02 00:00:00,0.0
2021-01-02 00:15:00,0.0
2021-01-02 00:30:00,0.0
2021-01-02 00:45:00,0.0
2021-01-02 01:00:00,0.0
2021-01-02 01:15:00,0.0
2021-01-02 01:30:00,0.0
2021-01-02 01:45:00,0.0
2021-01-02 02:00:00,0.0
2021-01-02 02:15:00,0.0
2021-01-02 02:30:00,0.0
2021-01-02 02:45:00,0.0
2021-01-02 03:00:00,0.0
2021-01-02 03:15:00,0.0
2021-01-02 03:30:00,0.0
2021-01-02 03:45:00,0.0
2021-01-02 04:00:00,0.0
2021-01-02 04:15:00,0.0
2021-01-02 04:30:00,0.0
2021-01-02 04:45:00,0.0
2021-01-02 05:00:00,0.0
2021-01-02 05:15:00,0.0
2021-01-02 05:30:00,0.0
2021-01-02 05:45:00,0.0
2021-01-02 06:00:00,0.0
2021-01-02 06:15:00,0.0
2021-01-02 06:30:00,0.0
2021-01-02 06:45:00,0.0
2021-01-02 07:00:00,0.0
2021-01-02 07:15:00,0.00037
2021-01-02 07:30:00,0.00037
2021-01-02 07:45:00,0.00037
2021-01-02 08:00:00,0.00037
2021-01-02 08:15:00,0.00208
2021-01-02 08:30:00,0.00558
2021-01-02 08:45:00,0.00945
2021-01-02 09:00:00,0.01302
2021-01-02 09:15:00,0.0215
2021-01-02 09:30:00,0.03073
2021-01-02 09:45:00,0.03839
2021-01-02 10:00:00,0.05246
2021-01-02 10:15:00,0.10037
2021-01-02 10:30:00,0.17865
2021-01-02 10:45:00,0.15871
2021-01-02 11:00:00,0.12857
2021-01-02 11:15:00,0.14107
2021-01-02 11:30:00,0.07686
2021-01-02 11:45:00,0.05476
2021-01-02 12:00:00,0.07463
2021-01-02 12:15:00,0.17463
2021-01-02 12:30:00,0.12835
2021-01-02 12:45:00,0.06324
2021-01-02 13:00:00,0.1343
2021-01-02 13:15:00,0.14568
2021-01-02 13:30:00,0.18244
2021-01-02 13:45:00,0.1372
2021-01-02 14:00:00,0.23951
2021-01-02 14:15:00,0.17098
2021-01-02 14:30:00,0.0619
2021-01-02 14:45:00,0.03118
2021-01-02 15:00:00,0.01674
2021-01-02 15:15:00,0.01138
2021-01-02 15:30:00,0.01667
2021-01-02 15:45:00,0.02426
2021-01-02 16:00:00,0.03333
2021-01-02 16:15:00,0.03378
2021-01-02 16:30:00,0.05015
2021-01-02 16:45:00,0.0061
2021-01-02 17:00:00,0.0
2021-01-02 17:15:00,0.0
2021-01-02 17:30:00,0.0
2021-01-02 17:45:00,0.0
2021-01-02 18:00:00,0.0
2021-01-02 18:15:00,0.0
2021-01-02 18:30:00,0.0
2021-01-02 18:45:00,0.0
2021-01-02 19:00:00,0.0
2021-01-02 19:15:00,0.0
2021-01-02 19:30:00,0.0
2021-01-02 19:45:00,0.0
2021-01-02 20:00:00,0.0
2021-01-02 20:15:00,0.0
2021-01-02 20:30:00,0.0
2021-01-02 20:45:00,0.0
2021-01-02 21:00:00,0.0
2021-01-02 21:15:00,0.0
2021-01-02 21:30:00,0.0
2021-01-02 21:45:00,0.0
2021-01-02 22:00:00,0.0
2021-01-02 22:15:00,0.0
2021-01-02 22:30:00,0.0
2021-01-02 22:45:00,0.0
2021-01-02 23:00:00,0.0
2021-01-02 23:15:00,0.0
2021-01-02 23:30:00,0.0
2021-01-02 23:45:00,0.0
2021-01-03 00:00:00,0.0
2021-01-03 00:15:00,0.0
2021-01-03 00:30:00,0.0
2021-01-03 00:45:00,0.0
2021-01-03 01:00:00,0.0
2021-01-03 01:15:00,0.0
2021-01-03 01:30:00,0.0
2021-01-03 01:45:00,0.0
2021-01-03 02:00:00,0.0
2021-01-03 02:15:00,0.0
2021-01-03 02:30:00,0.0
2021-01-03 02:45:00,0.0
2021-01-03 03:00:00,0.0
2021-01-03 03:15:00,0.0
2021-01-03 03:30:00,0.0
2021-01-03 03:45:00,0.0
2021-01-03 04:00:00,0.0
2021-01-03 04:15:00,0.0
2021-01-03 04:30:00,0.0
2021-01-03 04:45:00,0.0
2021-01-03 05:00:00,0.0
2021-01-03 05:15:00,0.0
2021-01-03 05:30:00,0.0
2021-01-03 05:45:00,0.0
2021-01-03 06:00:00,0.0
2021-01-03 06:15:00,0.0
2021-01-03 06:30:00,0.0
2021-01-03 06:45:00,0.0
2021-01-03 07:00:00,0.0
2021-01-03 07:15:00,0.00037
2021-01-03 07:30:00,0.00037
2021-01-03 07:45:00,0.00037
2021-01-03 08:00:00,0.00037
2021-01-03 08:15:00,0.00231
2021-01-03 08:30:00,0.0154
2021-01-03 08:45:00,0.02634
2021-01-03 09:00:00,0.05179
2021-01-03 09:15:00,0.08051
2021-01-03 09:30:00,0.09286
2021-01-03 09:45:00,0.10878
2021-01-03 10:00:00,0.12411
2021-01-03 10:15:00,0.13795
2021-01-03 10:30:00,0.15179
2021-01-03 10:45:00,0.16443
2021-01-03 11:00:00,0.175
2021-01-03 11:15:00,0.18371
2021-01-03 11:30:00,0.19144
2021-01-03 11:45:00,0.19844
2021-01-03 12:00:00,0.20372
2021-01-03 12:15:00,0.20923
2021-01-03 12:30:00,0.22403
2021-01-03 12:45:00,0.10685
2021-01-03 13:00:00,0.1029
2021-01-03 13:15:00,0.15751
2021-01-03 13:30:00,0.2285
2021-01-03 13:45:00,0.21324
2021-01-03 14:00:00,0.20826
2021-01-03 14:15:00,0.2032
2021-01-03 14:30:00,0.19762
2021-01-03 14:45:00,0.2035
2021-01-03 15:00:00,0.19509
2021-01-03 15:15:00,0.17835
2021-01-03 15:30:00,0.1593
2021-01-03 15:45:00,0.13549
2021-01-03 16:00:00,0.11287
2021-01-03 16:15:00,0.09033
2021-01-03 16:30:00,0.05506
2021-01-03 16:45:00,0.01057
2021-01-03 17:00:00,0.0
2021-01-03 17:15:00,0.0
2021-01-03 17:30:00,0.0
2021-01-03 17:45:00,0.0
2021-01-03 18:00:00,0.0
2021-01-03 18:15:00,0.0
2021-01-03 18:30:00,0.0
2021-01-03 18:45:00,0.0
2021-01-03 19:00:00,0.0
2021-01-03 19:15:00,0.0
2021-01-03 19:30:00,0.0
2021-01-03 19:45:00,0.0
2021-01-03 20:00:00,0.0
2021-01-03 20:15:00,0.0
2021-01-03 20:30:00,0.0
2021-01-03 20:45:00,0.0
2021-01-03 21:00:00,0.0
2021-01-03 21:15:00,0.0
2021-01-03 21:30:00,0.0
2021-01-03 21:45:00,0.0
